RUNTIME	Iteracoes	Media movimentos	Media espera
92.22556829452515	128	23	1
101.60248136520386	104	23	1
126.50643014907837	156	23	1
133.27832961082458	138	24	1
184.60448575019836	120	24	1
200.86234712600708	160	23	1
189.03658080101013	140	24	1
173.3625888824463	106	24	1
198.07016134262085	158	24	1
192.9975757598877	148	23	1
186.46843838691711	134	22	1
201.78093957901	166	24	1
174.18131518363953	106	23	1
175.12629294395447	110	24	1
172.7161886692047	106	23	1
186.45165753364563	132	27	1
201.70531129837036	162	22	1
183.79752230644226	130	25	1
173.4965000152588	118	27	1
182.62383460998535	136	24	1
192.94466042518616	158	27	1
188.1332848072052	148	26	1
189.48999285697937	150	20	1
174.5854139328003	120	25	2
188.10845255851746	148	25	1
197.05498600006104	168	23	1
189.16589093208313	148	25	1
192.7148208618164	154	26	1
196.58998656272888	162	22	1
173.21706199645996	110	25	1
193.08057165145874	148	23	1
143.76280307769775	142	25	1
156.10082530975342	148	24	1
200.89795756340027	120	24	1
195.12947416305542	148	21	1
186.63422632217407	130	23	1
199.27873063087463	160	24	1
170.5474169254303	100	24	1
189.07379984855652	140	25	1
169.71010184288025	96	24	1
197.08623504638672	154	24	1
195.5658688545227	154	28	2
201.89291620254517	166	25	1
180.8773775100708	122	24	1
195.46030402183533	150	23	1
180.69117617607117	120	23	1
202.89372062683105	170	25	1
181.8259584903717	126	25	1
166.91405248641968	92	24	1
189.1700713634491	140	22	1
191.25779962539673	144	25	1
171.55313634872437	102	25	1
188.30163168907166	140	27	1
186.75937628746033	138	25	1
192.09941124916077	146	26	1
178.8136010169983	114	24	1
192.9475417137146	146	24	1
195.5925588607788	148	25	1
182.8962483406067	124	25	1
200.40064311027527	158	24	1
196.3147976398468	152	23	1
174.75060510635376	106	23	1
191.44026279449463	142	26	1
178.12120866775513	112	27	1
193.4404067993164	144	26	1
183.12765049934387	126	23	1
195.735582113266	148	24	1
188.82272267341614	136	25	1
191.97281122207642	142	23	1
203.00208687782288	162	26	1
174.88295793533325	112	23	1
191.97620630264282	144	25	1
184.07073545455933	124	27	1
170.96707487106323	104	23	1
181.19054508209229	128	24	1
185.4965717792511	138	23	1
191.79741954803467	160	23	1
101.06419324874878	136	23	1
102.30825734138489	140	25	1
99.74716305732727	132	23	1
123.93566107749939	124	23	1
192.05485582351685	158	23	1
168.03636240959167	104	25	1
166.56080770492554	100	22	1
171.5144326686859	122	23	1
186.61163210868835	140	26	1
184.07201170921326	138	26	1
106.01788830757141	162	22	1
96.55712723731995	124	25	1
95.93417763710022	122	24	1
98.77393651008606	138	23	1
88.00701260566711	130	25	1
94.22414517402649	158	24	1
95.8320951461792	166	24	1
88.21179723739624	130	24	1
93.99201321601868	154	24	1
83.98732137680054	110	24	1
84.3223648071289	114	23	1
97.19655919075012	170	21	1
107.27506971359253	162	26	1
