RUNTIME	Iteracoes	Media movimentos	Media espera
98.85666728019714	144	21.0	1.0
99.4782817363739	124	19.0	1.0
184.76210260391235	158	20.0	1.0
178.89908933639526	128	21.0	1.0
194.13982105255127	190	19.0	1.0
181.21655583381653	150	20.0	1.0
170.70721626281738	129	19.0	1.0
177.76959562301636	143	20.0	1.0
182.64509534835815	156	21.0	1.0
165.7609667778015	118	19.0	1.0
170.55514907836914	128	19.5	1.0
174.2227430343628	130	20.0	1.0
164.58293962478638	118	21.0	1.0
170.75905013084412	136	20.0	1.0
176.25384092330933	148	22.0	1.0
168.07006168365479	126	20.0	1.0
179.39092111587524	148	19.0	1.0
175.32016348838806	144	21.0	1.0
172.74525237083435	136	20.5	1.0
171.63926768302917	138	21.0	1.0
159.97458600997925	112	20.0	1.0
147.66751766204834	152	20.0	1.0
99.96788191795349	162	18.5	1.0
97.08687162399292	156	21.0	1.0
160.4916319847107	118	21.0	1.0
90.51225090026855	132	20.0	1.0
89.0074417591095	125	18.0	1.0
89.34008502960205	124	20.0	1.0
96.06808376312256	150	22.0	1.0
110.65951991081238	204	22.0	1.0
88.48208689689636	120	21.0	1.0
90.26881957054138	124	19.0	1.0
95.64987444877625	146	21.0	1.0
89.76652264595032	124	20.0	1.0
90.93232870101929	128	22.0	1.0
97.11664938926697	152	21.0	1.0
96.9577374458313	148	20.0	1.0
98.09703373908997	156	19.0	1.0
174.31522583961487	133	19.5	1.0
134.47059893608093	114	21.0	1.0
190.45395016670227	156	22.0	1.0
201.2930612564087	144	21.0	1.0
175.35195779800415	126	19.0	1.0
182.49604272842407	142	20.0	1.0
172.61952209472656	124	20.0	1.0
193.27293276786804	162	21.0	1.0
164.00304555892944	108	21.0	1.0
189.91954112052917	160	21.0	1.0
169.15592432022095	116	20.0	1.0
184.38560819625854	148	20.0	1.0
167.47324466705322	114	19.0	1.0
173.7823326587677	128	21.0	1.0
170.06207156181335	122	20.0	1.0
180.34425330162048	140	19.0	1.0
182.0689992904663	141	20.0	1.0
178.75360560417175	140	22.0	1.0
185.17996978759766	152	20.5	1.0
181.56853604316711	146	19.0	1.0
181.55481672286987	148	19.0	1.0
173.50877714157104	127	20.5	1.0
174.659588098526	134	19.5	1.0
189.96109533309937	164	20.0	1.0
176.937344789505	134	21.0	1.0
165.45164489746094	114	21.0	1.0
184.9606511592865	152	22.0	1.0
167.36550951004028	116	20.0	1.0
175.5904984474182	134	21.0	1.0
189.95859813690186	166	20.0	1.0
182.95187878608704	152	19.5	1.0
183.65002965927124	154	20.0	1.0
164.84779810905457	111	21.0	1.0
170.82365894317627	128	20.0	1.0
174.077880859375	130	21.0	1.0
174.66043090820312	132	20.0	1.0
181.7031819820404	148	20.0	1.0
172.47949934005737	128	20.0	1.0
184.98341131210327	160	20.0	1.0
180.85036396980286	146	22.0	1.0
173.76334595680237	136	20.0	1.0
187.37056922912598	164	21.0	1.0
162.7759611606598	108	20.0	1.0
180.03361916542053	150	22.0	1.0
172.7967290878296	134	21.5	1.0
169.43870615959167	126	20.5	1.0
162.22927570343018	111	20.0	1.0
91.90233182907104	128	21.0	1.0
98.90565586090088	156	21.0	1.0
87.32681012153625	108	19.0	1.0
95.90819525718689	140	19.0	1.0
99.67998576164246	156	19.0	1.0
100.141681432724	154	21.0	1.0
175.36525750160217	146	20.0	1.0
172.0405306816101	138	20.0	1.0
172.9337272644043	142	20.0	1.0
164.76331424713135	122	18.0	1.0
164.04703211784363	118	19.5	1.0
178.71175837516785	152	22.0	1.0
170.55067372322083	150	20.0	1.0
107.1560423374176	122	21.0	1.0
113.69322943687439	110	20.0	1.0
113.20013570785522	135	19.0	1.0
87.35686874389648	110	19.0	1.0
