RUNTIME	Iteracoes	Media movimentos	Media espera
30.581295251846313	327	37.0	4.0
39.68811297416687	300	35.0	3.0
31.366536617279053	303	35.0	4.0
29.85920524597168	296	34.0	2.5
34.97067594528198	357	31.0	3.0
30.198779106140137	330	40.0	4.0
28.426268339157104	330	36.5	3.0
48.87534284591675	339	39.0	4.0
43.35039520263672	302	34.5	4.0
54.26664686203003	363	41.5	4.0
53.152307987213135	357	32.5	3.0
29.6591739654541	273	33.0	3.0
26.972708702087402	297	36.5	3.0
47.852882385253906	297	34.0	3.0
45.25887680053711	312	35.0	4.0
50.296807527542114	360	38.5	3.0
40.46753239631653	279	32.5	3.0
59.031434774398804	378	35.0	3.0
51.74976682662964	339	34.0	3.0
46.31112241744995	300	33.0	3.0
51.586835622787476	375	37.0	3.5
51.30609607696533	378	35.5	3.5
51.29116678237915	363	36.0	3.0
47.40437841415405	333	33.0	3.0
49.67092967033386	348	35.0	3.0
47.21597075462341	339	38.0	4.0
47.777448415756226	330	41.0	4.0
44.57090425491333	306	36.0	3.0
44.63493800163269	306	37.5	3.0
45.5648558139801	321	37.0	4.0
42.62393236160278	297	36.0	3.0
44.851840019226074	315	36.0	3.0
47.96339654922485	333	40.5	3.0
47.271857023239136	324	37.5	3.0
53.240407943725586	393	37.0	4.0
40.83358573913574	273	36.0	3.0
47.60191106796265	327	36.5	4.0
49.64511275291443	348	41.0	3.0
43.64129328727722	309	35.0	4.0
43.29650616645813	303	35.0	4.0
46.19641423225403	315	37.0	3.0
45.31710505485535	309	39.0	4.0
47.82753896713257	327	37.5	4.0
45.60310363769531	321	36.0	4.0
49.20499658584595	345	33.0	3.0
52.1703314781189	369	31.5	3.0
41.571950912475586	285	34.0	3.0
48.6313738822937	342	34.0	3.0
48.95579409599304	342	36.5	4.0
45.93291664123535	324	35.5	3.0
49.93631625175476	354	33.0	3.0
50.21961712837219	354	38.0	4.0
48.297423362731934	354	32.5	3.0
48.82402205467224	336	38.0	3.0
51.02351951599121	351	40.5	3.0
48.443920612335205	336	39.0	3.0
48.990548849105835	357	35.0	4.0
49.69868540763855	351	38.0	3.0
43.8212456703186	306	32.0	3.0
46.37100887298584	321	35.0	4.0
49.634135007858276	348	38.0	3.0
42.91539764404297	303	35.0	3.0
50.69382858276367	354	36.0	3.0
47.77869963645935	333	36.5	3.0
50.35085916519165	357	36.0	3.0
45.540873289108276	327	34.0	3.5
47.67792105674744	333	35.0	3.0
43.497260332107544	297	36.5	3.0
52.58353877067566	372	36.5	3.5
47.42815589904785	333	32.5	3.0
53.470439195632935	387	34.5	3.0
50.27082419395447	357	34.5	4.0
49.9699342250824	354	39.0	3.5
50.59370136260986	351	36.0	4.0
47.39494585990906	336	35.0	3.0
42.34060502052307	300	35.5	3.0
44.3738956451416	315	36.0	3.5
41.24030804634094	280	36.0	3.5
51.11113166809082	354	36.0	3.0
43.16199445724487	297	33.0	3.5
46.95369100570679	327	31.5	4.0
47.61892819404602	345	38.0	4.0
49.8354058265686	348	35.5	3.0
47.253366470336914	324	42.5	4.0
45.524322748184204	309	37.0	4.0
47.84977126121521	327	37.0	4.0
47.30046606063843	330	33.5	3.0
47.08459401130676	339	37.5	3.5
49.583534479141235	342	37.0	3.0
49.329243659973145	342	41.0	4.0
49.567532539367676	345	32.5	3.0
51.257376194000244	360	34.0	3.0
42.93434166908264	303	34.0	3.0
44.33206248283386	306	39.0	4.0
47.25805473327637	327	40.5	3.0
52.042068004608154	372	37.0	3.0
43.361849784851074	294	35.0	3.0
43.72910523414612	300	34.0	3.0
46.69544076919556	333	36.5	3.0
52.9854302406311	375	39.0	3.0
47.855865716934204	330	38.0	4.0
46.63994550704956	318	36.0	3.0
