RUNTIME	Iteracoes	Media movimentos	Media espera
49.00652885437012	162	23	2
53.20354461669922	183	24	3
52.44774508476257	181	23	3
55.2081823348999	198	24	3
57.691086769104004	199	22	2
48.806997776031494	168	24	3
66.19519257545471	240	24	3
64.48077511787415	230	24	3
53.30133056640625	184	23	3
67.91818356513977	230	23	2
52.43631386756897	161	23	2
64.20763421058655	196	23	2
59.76918625831604	196	23	2
63.08572006225586	200	25	2
59.4447386264801	193	24	2
59.639700412750244	187	24	3
53.536853313446045	168	23	2
68.6792094707489	218	24	2
63.04395270347595	198	23	2
55.77720832824707	179	22	2
80.31556391716003	188	24	3
63.235665798187256	198	23	2
57.53416872024536	181	23	2
63.89625549316406	203	23	2
64.56248879432678	209	23	2
67.24966549873352	219	23	3
68.6125180721283	213	24	3
52.07956385612488	170	23	2
62.22448396682739	212	23	3
61.87891674041748	202	23	2
63.27542686462402	203	23	2
61.31862759590149	200	24	3
70.60635495185852	216	24	3
62.364707946777344	200	23	3
55.891085386276245	170	25	2
78.36123275756836	242	25	3
72.16459536552429	234	24	3
63.94904637336731	203	23	3
63.16619110107422	197	24	3
65.94407868385315	209	24	3
55.74862599372864	179	22	2
58.02839946746826	185	23	2
66.31410717964172	209	24	3
61.5765700340271	200	22	3
59.023942708969116	191	24	2
62.93631076812744	197	24	3
59.64153075218201	184	22	2
67.020836353302	213	24	3
56.08844041824341	175	22	2
67.62659192085266	218	22	2
58.45487689971924	181	23	2
59.558743476867676	183	22	2
57.934107065200806	174	24	3
59.86837100982666	183	24	3
71.84509134292603	239	24	3
64.54607582092285	205	22	2
74.32787823677063	220	24	3
60.32822299003601	194	21	2
73.58346390724182	233	23	3
57.38390898704529	175	23	3
57.92202949523926	173	24	3
66.77715826034546	211	24	3
62.21163630485535	194	22	3
64.72268390655518	200	23	3
50.79809284210205	156	23	2
57.1733500957489	170	23	3
75.98679757118225	252	25	3
54.335254430770874	185	23	3
59.41006135940552	189	23	3
80.47666716575623	235	23	3
55.80149722099304	180	23	2
59.923434019088745	196	23	2
68.06973958015442	219	25	3
62.42490363121033	203	23	2
66.08228302001953	213	24	3
66.36617469787598	215	24	3
73.76683187484741	246	24	3
54.18645882606506	174	22	2
63.801857471466064	210	22	2
66.72413444519043	215	25	3
63.50543665885925	206	24	3
61.297281980514526	202	23	2
71.56386399269104	232	24	3
62.25192070007324	201	23	2
56.78456449508667	183	24	2
64.85322070121765	220	23	2
53.45667052268982	170	22	2
60.61988973617554	200	23	3
62.94112539291382	208	24	3
58.225863456726074	189	22	3
57.055824756622314	187	23	2
59.206445932388306	198	22	2
61.56708765029907	203	23	2
57.11748719215393	183	24	3
53.29307794570923	166	24	2
51.79979968070984	163	23	2
62.64037609100342	205	23	3
60.699495792388916	201	22	2
53.43214392662048	167	23	2
57.41417336463928	190	23	3
47.27639126777649	150	22	2
64.81762766838074	212	23	3
