#24 outlayers de 1200
RUNTIME	Iteracoes	Media movimentos	Media espera
248.3910732269287	524	74.5	9.0
346.5681757926941	784	77.0	8.0
411.37378549575806	969	74.0	8.0
#499.9675898551941	1200	74.0	9.0
374.2266523838043	874	72.0	8.0
#497.2890028953552	1200	73.0	9.0
206.5939621925354	421	74.5	9.0
#500.2281687259674	1200	75.0	8.0
164.37775468826294	323	71.0	7.0
237.47347474098206	503	68.0	9.5
#499.2418854236603	1200	72.0	8.0
290.2201716899872	649	71.5	9.0
436.8249158859253	1027	71.0	7.0
328.4005780220032	750	74.0	9.0
200.89806509017944	413	73.5	7.0
228.75242948532104	484	73.0	8.0
247.50402641296387	536	72.0	7.0
244.9610035419464	521	74.0	10.0
#499.385315656662	1200	73.0	8.0
#502.95216703414917	1200	72.5	10.0
499.6762845516205	1199	75.5	9.0
303.1677610874176	678	82.0	9.0
319.4191610813141	720	75.0	9.0
#498.7702913284302	1200	73.5	8.0
198.0349988937378	403	76.0	8.0
#499.81873869895935	1200	75.0	9.0
#499.07663106918335	1200	72.5	9.0
#500.1751685142517	1200	74.5	8.5
207.60998463630676	426	78.0	9.0
335.37059116363525	762	74.0	9.0
329.7290086746216	745	73.0	9.0
346.8616523742676	798	75.0	9.0
#499.3000304698944	1200	74.5	9.0
342.7132284641266	784	72.5	8.5
#498.57196617126465	1200	72.5	8.0
250.69032096862793	541	75.0	9.0
402.41832399368286	947	71.0	8.0
445.17402744293213	1060	72.0	8.0
#501.6358149051666	1200	80.0	9.0
340.42725682258606	786	69.0	7.0
245.526704788208	521	75.0	9.0
421.800167798996	989	78.0	9.0
452.320818901062	1082	71.0	7.0
361.95882272720337	833	77.0	9.0
#499.8306121826172	1200	77.0	8.0
215.8016767501831	452	78.5	9.0
#498.447829246521	1200	71.0	9.0
211.83128428459167	450	78.5	9.0
244.83846950531006	546	76.0	8.0
259.86326599121094	583	75.5	9.0
335.59872221946716	816	75.0	10.0
286.7304048538208	684	77.5	9.0
231.49390935897827	534	73.0	9.0
#468.5852162837982	1200	77.0	8.5
374.895605802536	938	71.0	8.0
#466.81782746315	1200	74.0	8.0
#468.2734122276306	1200	75.0	7.0
334.7797203063965	817	78.0	10.0
168.6550633907318	359	76.0	8.0
391.7836983203888	988	74.0	9.0
247.31780409812927	571	78.5	9.0
176.4923176765442	371	81.5	9.0
307.305869102478	747	75.0	9.0
#470.15048241615295	1200	77.0	9.0
#467.97620940208435	1200	76.0	8.0
392.60184049606323	984	78.0	10.0
265.20465540885925	625	77.0	9.0
460.15857315063477	1174	73.5	9.0
394.64605379104614	987	75.0	9.5
440.0405340194702	1124	76.0	8.0
#466.8350610733032	1200	71.0	7.0
243.021009683609	565	75.5	9.0
345.2616534233093	857	74.0	7.0
180.2022886276245	387	77.0	8.0
284.5684509277344	681	74.0	8.0
457.74822068214417	1168	74.5	7.0
#470.74862122535706	1200	75.0	9.0
177.71004343032837	379	75.0	9.0
453.2264156341553	1154	72.0	9.0
294.41805601119995	715	72.0	8.0
290.77033948898315	696	72.5	9.0
#467.70853209495544	1200	74.5	8.0
257.7911479473114	613	74.0	8.0
196.43356037139893	430	72.0	9.0
#469.7466416358948	1200	74.0	8.0
413.73201990127563	1049	75.0	9.0
#470.21065974235535	1200	77.5	10.0
173.98299384117126	373	72.0	8.5
324.25301122665405	793	72.5	8.0
160.01467537879944	338	74.0	7.0
406.7248501777649	1021	76.0	9.0
408.41456842422485	1030	72.5	9.0
285.2179706096649	685	75.0	8.0
#468.83003091812134	1200	75.0	9.0
395.679851770401	999	71.0	8.0
#469.30009174346924	1200	77.0	9.0
337.6086359024048	827	75.5	9.0
380.5067684650421	952	73.0	9.0
223.00816893577576	500	73.0	8.0
348.82097697257996	865	73.0	7.0
