RUNTIME	Iteracoes	Media movimentos	Media espera
150.5828139781952	279	70.0	6.0
147.26210808753967	277	70.5	6.0
164.14965438842773	309	73.0	6.0
129.96142673492432	236	68.0	6.0
158.29229998588562	303	74.0	6.0
148.8039948940277	279	76.0	5.0
152.95772051811218	286	75.0	7.0
149.16940355300903	280	70.0	6.0
141.48430371284485	265	69.0	6.0
155.54942274093628	294	71.0	6.0
160.48772072792053	307	71.0	7.0
159.01299047470093	303	71.5	7.0
149.20623230934143	282	69.0	6.0
162.4000403881073	307	74.0	7.5
143.6267123222351	269	71.0	6.0
140.82504296302795	261	67.0	6.0
149.37901067733765	278	73.5	7.0
149.7032332420349	284	71.0	6.0
155.45855069160461	293	74.5	6.0
146.4105350971222	276	71.0	5.0
144.70254588127136	270	70.0	7.0
150.89669799804688	279	78.0	8.0
143.30402493476868	267	73.0	6.0
161.0428545475006	306	72.0	7.0
157.05909299850464	301	71.0	6.0
142.24117875099182	259	68.5	7.0
149.25867342948914	280	73.5	7.0
144.29096126556396	269	73.5	7.0
155.5599341392517	298	70.5	6.0
159.55711603164673	299	73.5	7.0
161.36669254302979	305	73.0	7.0
156.08383560180664	297	70.0	8.0
142.831805229187	268	70.0	6.0
157.87641835212708	305	65.0	5.0
142.07839822769165	265	67.0	6.0
149.60864639282227	282	68.0	5.0
169.84652066230774	328	74.0	6.0
156.53988933563232	299	68.0	6.0
143.53793263435364	269	68.0	6.0
158.198237657547	302	74.0	6.5
156.74588441848755	296	76.0	7.0
153.43441796302795	293	72.0	7.0
141.32447242736816	264	70.0	7.0
151.33797216415405	285	71.0	6.0
141.5331153869629	263	71.0	6.0
160.02001428604126	302	67.0	7.0
149.03146386146545	279	72.5	6.0
153.5102195739746	289	72.0	6.0
138.32853317260742	256	70.5	6.0
140.52726006507874	258	69.5	6.0
156.82350897789001	293	75.0	7.0
162.4232189655304	311	70.0	6.5
150.8603811264038	285	71.0	6.0
151.07184624671936	285	69.5	6.0
146.1143867969513	274	72.5	6.0
152.82198095321655	290	72.0	6.0
158.27364110946655	304	71.0	5.0
146.96201157569885	277	70.0	6.0
150.64144778251648	284	72.0	6.0
152.1056900024414	289	72.0	6.0
159.3190474510193	304	73.0	7.0
142.5548243522644	262	73.5	7.0
157.60037183761597	301	69.5	6.0
156.53313159942627	295	70.5	8.0
142.3566858768463	265	68.5	6.0
157.8910574913025	296	72.0	7.0
145.89193415641785	267	73.0	8.0
155.12226462364197	294	75.0	6.0
153.64799642562866	292	71.0	6.0
133.58819794654846	246	66.0	5.0
152.9520559310913	290	74.0	6.0
157.89633321762085	299	73.5	6.0
156.16825914382935	295	71.0	6.5
147.03386569023132	275	70.5	7.0
160.72144436836243	306	73.5	6.0
164.61458015441895	314	72.5	7.0
161.60938596725464	305	75.0	8.0
151.01463317871094	284	69.0	7.0
150.34283685684204	283	75.0	6.0
151.92061233520508	287	70.0	6.0
133.50180578231812	247	68.0	6.0
146.27143931388855	274	69.5	6.0
145.49666810035706	269	71.5	7.0
159.2169098854065	303	71.0	7.0
152.9775104522705	293	67.0	6.0
142.6908938884735	269	73.0	6.0
149.63557934761047	282	69.0	6.0
145.6697907447815	266	74.0	8.0
140.76488590240479	262	70.0	5.0
144.71329593658447	269	72.0	7.0
155.01642155647278	294	71.0	7.0
154.75339198112488	294	69.5	6.0
158.01550149917603	299	72.0	6.0
148.49481320381165	280	71.0	6.0
158.44415163993835	301	72.5	7.0
155.1918511390686	297	73.0	5.5
159.62908458709717	303	72.0	6.0
148.2812101840973	279	69.0	5.5
154.39422082901	293	71.0	5.0
154.61834263801575	296	66.5	5.0
RUNTIME	Iteracoes	Media movimentos	Media espera
170.07634735107422	323	72.0	10.0
165.3573317527771	318	75.5	10.0
155.58655309677124	298	74.5	8.0
159.18986868858337	303	71.0	10.0
158.05788469314575	303	72.0	9.0
157.95579028129578	302	73.0	10.0
161.67715001106262	308	75.5	10.0
171.14947938919067	332	76.0	9.0
164.72082424163818	318	77.0	9.0
160.8666377067566	307	79.0	10.0
162.57807159423828	312	74.0	10.5
153.57114720344543	295	72.0	9.0
171.2846658229828	330	75.5	10.0
161.5369200706482	307	74.5	12.0
159.07296299934387	303	75.0	10.0
152.06462478637695	285	72.0	10.0
170.5706822872162	332	74.0	10.0
172.77287435531616	335	72.5	9.0
164.75785565376282	319	70.5	9.0
177.8487193584442	345	76.5	10.0
163.52130389213562	314	75.0	9.0
164.1065809726715	313	72.0	10.0
163.7904257774353	315	74.0	10.0
168.18001794815063	327	74.0	9.0
178.3398416042328	345	78.0	10.0
173.01332330703735	336	74.0	10.0
161.59256553649902	312	75.0	8.5
163.99676990509033	314	76.0	10.0
165.1334149837494	317	78.0	9.0
163.70866703987122	315	72.5	10.0
159.95076489448547	304	74.0	10.0
168.12152552604675	324	76.0	10.0
167.77144861221313	323	75.0	10.0
176.4987154006958	343	76.0	10.0
156.69292283058167	299	74.5	10.0
168.5511875152588	325	74.0	10.0
169.0894112586975	327	73.0	9.0
159.1959409713745	308	66.5	8.0
160.90865302085876	308	72.5	9.0
